product_a,product_b,cooccurrences
Kalo Dal,Rato Dal,3989
Rato Dal,Sugar,3639
SALT,Sugar,3055
Chana,Sugar,2485
Mong Khosta,Rato Dal,2164
Kalo Dal,Sugar,1825
RARA,WAI WAI  CHICKEN,1653
Chana,Rato Dal,1605
Rato Dal,SALT,1596
PATANJALI SOAP,Sugar,1494
Mong Khosta,Sugar,1337
KUNDAN SUNFLOWER 1LTR,Sugar,1233
FAMILY SUNFLOWER 1LTR,Sugar,1176
Khukuri FT,Shikhar Ice,1144
PATANJALI SOAP,Rato Dal,1068
Makai,Sugar,1058
Chana,SALT,1032
Shikhar Ice,Surya,1027
Chana,Seto Kerau,997
BADAM RAMRO,Sugar,982
Gharana Maida 1kg,Sugar,975
KUNDAN SUNFLOWER 1LTR,Rato Dal,903
Kalo Dal,SALT,896
Aadar Dal,Rato Dal,894
Sugar,WAI WAI  CHICKEN,885
FAMILY SUNFLOWER 1LTR,Rato Dal,884
Makai,Rato Dal,871
Chana,Kalo Dal,862
Seto Kerau,Sugar,852
RARA,Sugar,846
SHAKTI SOYABEAN OIL 1LTR,Sugar,844
Kalo Dal,Mong Khosta,822
PRAWN 120gm,Sugar,792
COKE FANTA SPRITE 1.5L,Sugar,790
BRT MARI 40g,Sugar,781
Aadar Dal,Sugar,779
BMC MEAT MASALA 100GM,Sugar,762
Aadar Dal,Mong Khosta,758
GYAN CHAKKI AATA 2KG,Sugar,747
PRAWN 120gm,SADA PAPAD,745
CURRENT Chk H&S NOODLES RS.45,RARA,705
SAI DEEP CHIYA GOLD 500GM,Sugar,698
PATANJALI SOAP,SALT,694
Mong Dal,Rato Dal,691
Chana,Kauli Chaana,678
BADAM RAMRO,Chana,674
Chana,Makai,649
BMC MEAT MASALA 100GM,SALT,647
Local Milk 500ml,Sugar,646
Dhara Health 1l,Sugar,640
